2026-04-01 23:03:18 - stock_picker - INFO - ======================================================================
2026-04-01 23:03:18 - stock_picker - INFO - 简化增量收集开始
2026-04-01 23:03:18 - stock_picker - INFO - Simplified Incremental Collection
2026-04-01 23:03:18 - stock_picker - INFO - ======================================================================
2026-04-01 23:03:18 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - 数据库中的股票: 300 只
2026-04-01 23:03:19 - stock_picker - INFO - 目标日期: 20260401
2026-04-01 23:03:19 - stock_picker - INFO - 
检查需要更新的股票...
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
2026-04-01 23:03:19 - stock_picker - INFO - Database tables initialized
